gene
3293
10510
14115
6820
13558
1121
8310
2234
13359
6133
4856
11183
2900
10376
6802
262
3917
8042
2276
13374
13273
9994
12168
14737
12826
15140
11024
3220
15072
9319
3808
1976
8130
7170
115
11010
1080
2636
7845
4380
7941
5177
6950
7902
1047
4141
10983
1446
9789
16069
3228
4277
10214
13640
13090
2468
3525
5642
12864
860
3725
2650
1078
14315
12150
1112
12736
13052
15782
9215
2819
1242
14574
4433
11919
6120
10917
13053
3282
4840
13292
13226
8821
4749
5291
13161
10808
1458
8393
6245
4946
8970
10229
1711
9044
13118
278
4203
10152
12496
2985
6975
10438
4573
1003
3536
14967
9374
1843
8161
13762
13896
13029
1390
4812
312
2874
1871
9504
2913
13162
1000
9683
10494
10020
530
13966
11021
4850
8086
11547
1667
1456
13540
15749
13146
10257
7769
7940
1001
14806
149
2505
13377
6678
11784
1263
875
1580
15790
11639
6019
8742
5111
15462
6896
6287
11831
2215
3503
5322
605
7131
9092
16059
12505
3698
12413
6309
8035
15960
9479
596
1378
4547
7830
12184
7627
4548
4217
2980
267
10641
11937
9738
15738
12891
4846
15856
2824
5289
16170
8194
4082
4770
10361
2071
12728
8878
2387
