gene,logFC,AveExpr,t,PValue,FDR,B
PLXDC2,-3.4016906937614206,7.083876077536944,-31.865903311886406,4.508878057710512e-12,7.359390765795097e-8,16.96788768055779
SLFN4,2.886636964955855,9.38741314873616,22.850452976901956,1.585322108733058e-10,1.1409646590431517e-6,14.318972961154888
SESN1,-1.6664809127585538,8.314070672712887,-22.25771378015765,2.0971045074926204e-10,1.1409646590431517e-6,14.088787123646302
ABCA9,-3.054052285292939,5.00644943240038,-20.324106215218137,5.504873098130538e-10,2.1650781260244207e-6,13.273392167379853
MXD1,1.9276680439844678,9.260991236770922,19.802567230854084,7.249699950211681e-10,2.1650781260244207e-6,13.035009589365714
PTGES,2.1996318851514887,6.5057059741411525,19.605484717125922,8.059091067363532e-10,2.1650781260244207e-6,12.942723489141969
GPSM2,1.811614106599711,7.208278921362441,19.29867022403869,9.521941170049655e-10,2.1650781260244207e-6,12.796572172286606
CD274,2.1064202403190246,9.252815010897038,18.717869348469335,1.314898463079748e-9,2.1650781260244207e-6,12.511351114539796
IL1RN,1.7969306328998547,8.448908069430317,18.6466085302909,1.3689017452061466e-9,2.1650781260244207e-6,12.475561858803122
SLFN1,1.9202544472175735,8.94781391113733,18.624114541387303,1.3864464002925272e-9,2.1650781260244207e-6,12.464227910139499
CD38,1.8869779802416815,7.423880193345613,18.534125129625227,1.4591262949558038e-9,2.1650781260244207e-6,12.418707620111796
PDE7B,1.603671742166634,9.331251737721633,17.804881415787648,2.227159014425839e-9,2.9295924646018424e-6,12.039053360265545
IRF7,1.227244075144162,11.279791945239154,17.726241815278254,2.333335500540617e-9,2.9295924646018424e-6,11.996933580644175
TMEM171,1.6346449903122036,6.713743355525837,17.196222632745854,3.2102053413541333e-9,3.742640827255869e-6,11.706802173687983
OASL1,2.4030043870495734,9.508098064136817,16.95832030600874,3.7155921562517656e-9,3.940245282577237e-6,11.572935543316635
GAS6,-1.3687254945456062,8.629374021727815,-16.802861881650593,4.092323357693504e-9,3.940245282577237e-6,11.484203845313704
HPGD,-2.990034904654523,6.146141733021839,-16.798327175526488,4.103919238072113e-9,3.940245282577237e-6,11.481600451355764
THBS1,1.209894061097223,12.091218418178308,16.63851589452943,4.536330656271829e-9,4.100058000305415e-6,11.389299602390558
AA467197,1.8764928694071883,6.92118960639851,16.558004024066985,4.7727669406814656e-9,4.100058000305415e-6,11.342388627440616
MTHFD2,1.485820770033264,7.87595539538486,16.25692877861125,5.783328104524078e-9,4.614416092906782e-6,11.164482285154218
SLC4A11,2.4193122504422044,5.530712530211422,16.216229481082777,5.936940200406962e-9,4.614416092906782e-6,11.140128055356577
CD300LF,1.867717356048372,6.133729292903809,15.939750775935925,7.105757231438283e-9,5.183886924479576e-6,10.972721430254708
INPP5J,1.9600764197990452,5.66298172283076,15.897631888538593,7.304827794573596e-9,5.183886924479576e-6,10.94691444160107
H2-T22,1.9324069849792649,10.163238946997852,15.786307354370742,7.860826330723835e-9,5.346016973753102e-6,10.878310880171249
FCGR4,1.2270549992021922,9.196315330064076,15.572043095537916,9.065109710596557e-9,5.464536115965101e-6,10.744644886695749
CFB,2.5166656127509235,8.315979423923809,15.555762613756693,9.1645012099887e-9,5.464536115965101e-6,10.73439997946355
CCL7,2.240868420064055,7.044570339404727,15.527471022210786,9.340052926280297e-9,5.464536115965101e-6,10.71656675749546
DDX60,1.7756245643300306,8.38949412730599,15.522022361956871,9.374280801802647e-9,5.464536115965101e-6,10.713127884187639
PTGER4,-1.3817976177203377,7.910261192055311,-15.427597081507606,9.989657508658495e-9,5.62245482263186e-6,10.653306294191548
PDPN,1.4752386406056088,9.05017730634264,15.270883132527938,1.1110230817948852e-8,6.044706247018706e-6,10.553071273151417
DCK,1.3401557448240522,9.354058962278264,15.215970914277568,1.1534660971841328e-8,6.073185044593359e-6,10.51766512898282
