gene,logFC,AveExpr,t,PValue,FDR,B
TBC1D20,-0.23934046640233236,8.767427534595988,-2.88936131288626,0.01490837770949294,0.08715420522003717,-3.743645776920676
XPO4,-0.2572446083827474,7.353916519761766,-2.888997187766954,0.014918034520089272,0.0871794340984236,-3.744287532193265
3830403N18RIK,0.7736773094039556,2.9602524327842237,2.887137141116865,0.014967462006548303,0.08743697740546937,-3.7475656344834474
NYX,0.4584581364691797,2.285033584352696,2.886924665064462,0.014973118628344252,0.08743872710262428,-3.7479400810361687
GNA15,-0.34019511257849644,7.130225648566551,-2.885954036804805,0.014998986358177566,0.08755846042137848,-3.749650576797987
DAPK3,0.258580011403435,6.899281746611355,2.8854304167850224,0.015012959698944367,0.08759014656081544,-3.7505733005025577
KRT27,-0.6220943667716972,2.5035986444485094,-2.885348495055065,0.015015147045531285,0.08759014656081544,-3.750717661214255
NKRF,-0.36229969643226934,5.221897595318383,-2.8837447854230196,0.015058031225658661,0.0878056417232972,-3.753543583358049
4933416I08RIK,0.4237037664915967,2.089060825728299,2.883564960876578,0.015062847495725533,0.0878056417232972,-3.7538604430925746
ZC3H3,0.36170284826042165,6.250013254355315,2.8829276822188588,0.015079928273614436,0.0878519398662867,-3.754983340123902
RUFY3,0.24851676685938004,7.931561283426956,2.882867039190046,0.015081554681125802,0.0878519398662867,-3.755090192703994
DVL2,-0.32975407404423934,6.230879159516286,-2.8822103674335513,0.015099177468142853,0.0879232160667241,-3.7562472259781203
PAFAH1B2,0.19472328791657575,8.692329881243795,2.8818534680920256,0.01510876406424681,0.0879476630016535,-3.7568760569085997
DEFB12,0.5792120392406531,1.9833038313975777,2.8814771801602004,0.015118878061990509,0.08797516140028845,-3.7575390387845684
CAMK1,-0.21971622165390511,7.758421242282949,-2.8801222272611873,0.015155353216855036,0.0881559783341083,-3.7599262426785764
DAGLA,0.35049857139257556,5.5183274440302,2.8795907318722325,0.01516968508190455,0.08820790876624371,-3.7608626122351603
MAGED1,0.31529146109153067,7.538388311520985,2.8792345288406693,0.015179297761757107,0.08821834808423495,-3.7614901460406163
UPF1,-0.28260165495360534,7.467458239517853,-2.879123690570553,0.01518229014634334,0.08821834808423495,-3.7616854112622984
DDX23,-0.21376532846718987,7.929914040435271,-2.878744111335367,0.01519254241506075,0.08824387919303561,-3.762354113888628
BCL2L1,0.35541863147817715,6.04346042785685,2.8784286547371107,0.015201068039847901,0.08824387919303561,-3.7629098437141786
MAMLD1,-0.3899654395003931,5.813630409664339,-2.8783607700612848,0.015202903338488921,0.08824387919303561,-3.76302943299508
SLC39A9,-0.2465691706270164,8.25072275200559,-2.877607160936562,0.015223292491693175,0.08833081409506435,-3.7643570076880333
RASSF3,-0.2986930837246167,7.574671033319907,-2.875036645685051,0.015293045080216342,0.08868981853990227,-3.7688849592954714
ENO1,0.799598422172312,4.672484883988331,2.874924675907537,0.015296090722574103,0.08868981853990227,-3.76908218209438
PRPS2,-0.34544835900559734,7.138020618855412,-2.874727111948665,0.015301466058593604,0.08868981853990227,-3.7694301675526223
ZFYVE19,0.300381124793845,6.231908266103106,2.8741109363353186,0.015318243177516866,0.08875554318190639,-3.7705154684940974
USP34,-0.2094601608614069,7.967310734907128,-2.873186053252775,0.015343460338671757,0.0888701063334991,-3.772144456538191
DPCD,0.5146774075154663,5.858213245306847,2.8714049111498268,0.01539214087460271,0.08912044106252764,-3.7752813797167537
TBCCD1,-0.2753240226670116,7.0900586846342515,-2.8689626930170173,0.01545914102699714,0.08945162681515105,-3.779582180881621
ZIM1,-0.4492740440846041,1.6155798565337136,-2.8689204902882857,0.015460301387424403,0.08945162681515105,-3.779656496753024
GBP8,0.5742055429358133,5.157380381640362,2.8675529397212745,0.01549794934044599,0.08963767864449307,-3.782064576344712
PCGF1,0.4630117805243417,6.281810969350979,2.8669292414794763,0.015515149911954018,0.08970537614697609,-3.7831627795684755
LRRC40,0.2683212816833739,6.867570546673271,2.8664011641844542,0.01552972836630984,0.08975787053644094,-3.7840925902414493
DUS4L,-0.6439990417494603,4.021348096397446,-2.8651668244096222,0.01556385792360693,0.08991233635765347,-3.786265864985479
ARL10,-0.5248811919814884,5.572738308553153,-2.8649457358856414,0.015569978962363309,0.08991233635765347,-3.7866551179606773
ACAD8,-0.2846299683360185,6.937932680194797,-2.864837382223627,0.015572979713459525,0.08991233635765347,-3.786845886222135
CAST,-0.17622260977189072,9.563955341458044,-2.864212281587959,0.015590302593283905,0.08995021108362522,-3.7879464248994887
NLRP1A,-0.4703758212014389,4.968047312442803,-2.864202938951475,0.015590561644135262,0.08995021108362522,-3.787962873108782
CYP2C65,0.534356671767571,1.7348053689708811,2.863544547214261,0.015608828268018692,0.0900237791486223,-3.7891219894099373
DSG1B,0.5551387211985528,3.0054443655233114,2.8628791207263484,0.01562731184903782,0.09009854609678393,-3.790293455605338
C1QTNF6,0.5206581072100297,4.366694617808784,2.862345105990198,0.01564216105566677,0.09012889157917071,-3.791233549319185
PLA2G4C,0.5780474768512617,2.915663728406485,2.8622927008724055,0.015643619032213615,0.09012889157917071,-3.7913258034554542
MYH9,-0.19029032120967182,10.519582890170998,-2.8606492394868153,0.015689411334682178,0.09036082279628882,-3.79421884686894
B3GALT6,-0.5267724028848663,3.985356955647729,-2.8597621274566545,0.015714184993663335,0.09047157935328852,-3.7957803718300966
C1RA,0.7528064152795035,4.5449171567398485,2.858878467860012,0.015738901186581614,0.09052014637170137,-3.7973357568690793
AKR1C20,0.7714118675513729,1.3044220587960844,2.858872995090509,0.01573905438263446,0.09052014637170137,-3.7973453896404292
MYO1D,-0.45058253439517293,4.9841988409564415,-2.858865707307259,0.015739258387629487,0.09052014637170137,-3.7973582170633944
RPL21,-0.1506852692996063,12.630744722070151,-2.8579589064460977,0.015764662899314663,0.09063431766206902,-3.79895426820334
CEP164,0.38326095792167236,5.978959821443399,2.8573575948597907,0.015781531603646207,0.09069935170236386,-3.80001259412321
PSMC5,0.2705508469359408,7.475847547811841,2.8567546701634963,0.015798463708217657,0.09073366940664397,-3.801073729800093
LEMD2,0.2519657726855656,6.901829278687018,2.8567490799425044,0.015798620785055888,0.09073366940664397,-3.8010835683419986
CST3,-0.2887247928047632,9.396046793741807,-2.856430403120504,0.015807577712516084,0.09075271259926697,-3.8016444212779272
