gene,genes,logFC,logCPM,F,PValue,FDR
10503,PPOX,0.49341811919057815,4.96278467878359,17.40986028669768,0.001714718026562492,0.0034587649612961005
9271,NRF1,0.20981133032805271,4.9836798895092915,17.406568517785832,0.001715828947202564,0.003460317594457826
2014,CBLL1,0.21863694647379894,4.922800897019069,17.40212617628746,0.0017173295307069975,0.0034626552883559383
13238,SRP9,-0.1759136252022613,5.9729457832690125,17.3919520247676,0.0017207721760051171,0.0034689070580488767
442,ACTR5,0.22707067837828096,3.7502477535117236,17.38945733059589,0.0017216175674110244,0.003469921575652347
4175,EFNB2,1.3094376853215588,-1.024925895163994,17.386101884829102,0.0017227554287967636,0.0034715250464646885
18,1700003F12RIK,-1.6114347629206676,-0.48694378498804397,17.37792506325827,0.0017255320233750765,0.003476429436048873
10195,PLA2G6,0.4117980034186355,3.3029619692900214,17.36248883038634,0.0017307882657463553,0.0034863266318171863
4943,FLYWCH2,0.6357881192009384,0.44011097517031417,17.35758958805187,0.0017324605176492589,0.003489002098887765
4717,FBXL12,0.46919609116114297,3.6691991239675623,17.320184077506624,0.001745291877346926,0.0035141453682851946
1720,BRI3BP,0.232199204811661,5.234038536163592,17.31508669724108,0.0017470492227841983,0.0035169855532904606
11055,RAB13,-0.5034282225065891,4.301506808495,17.308444536737433,0.0017493423093382424,0.0035207657770363553
8236,MID1,-1.3044492203397569,3.368622387177756,17.307637037769574,0.0017496213287579601,0.0035207657770363553
5887,GSTM2,-1.1715961738341383,0.37223204212397193,17.304940960253692,0.0017505533037103784,0.0035219423936184604
8060,MCM7,-1.2808539038127227,5.127132201463015,17.303296487974848,0.0017511220527743458,0.003522339693239012
5203,GAMT,-0.33330868017461146,4.2006940335905645,17.302361900610002,0.0017514453828637684,0.003522339693239012
5670,GPATCH4,-0.6270866951047133,3.050317582840834,17.299670313383608,0.0017523769633897024,0.003523514504896582
15617,WIPF2,0.3350805086729786,5.732322474808196,17.29770335566154,0.0017530581178036141,0.0035241854173962846
6746,IRAK3,0.31533587357339027,5.511147189690346,17.280337777299955,0.0017590855258728646,0.00353560154645315
4024,DUSP11,0.23040586195143514,7.240441837189722,17.273209668352766,0.0017615667772751323,0.003539379084650535
7826,LYSMD3,0.2705788516948139,4.974184234912558,17.272933631407117,0.00176166294806901,0.003539379084650535
8401,MR1,0.4161304774646962,5.466994422019682,17.270584819097255,0.0017624815238596293,0.0035396731792402933
15882,ZFP112,0.6972339970039559,-0.2660131225431414,17.2705107318089,0.001762507351130298,0.0035396731792402933
1281,ATF1,0.2706551062907108,6.106949115234452,17.257956606254307,0.0017668903271833313,0.003547773054502741
7774,LTF,1.1507925105838115,4.6112985163777305,17.249215194446094,0.0017699498704756972,0.003553212903080863
15129,UXT,-0.3630698908321777,3.232405743033187,17.245412070992455,0.001771282959442568,0.00355518538980141
7778,LUC7L,0.23012096659144377,5.265283610425551,17.237149110328925,0.00177418346575376,0.003560302475202737
8397,MPZ,-1.2316786762479035,-0.5619775143728867,17.223645842500805,0.0017789356665002523,0.003569132646814156
3226,CTNNAL1,1.0330048391495277,0.9969949584215437,17.22103126167654,0.0017798575704376823,0.003569723411354325
8490,MRPS21,-0.2431610502594245,4.951364378597384,17.220814389549048,0.0017799340653932973,0.003569723411354325
4577,FAM111A,-0.4424479200773517,7.048359449159067,17.21928881213441,0.0017804722767200505,0.003570096842723359
11814,RRM2,-2.671006324133458,4.382966136525756,17.21361851672703,0.0017824744148745486,0.003573404925016342
3173,CSNK1G1,0.2619676195423696,5.270496557202265,17.20705569538494,0.0017847950541230169,0.003577350086742221
10188,PLA2G4A,-1.0032125821245241,4.194973472530489,17.19922962038679,0.0017875671020842097,0.0035821982907208168
15973,ZFP384,0.1514041802240223,6.400680980549313,17.185257392169554,0.001792528950579036,0.0035914319669641615
6816,ITGB2L,1.2680939719778634,0.4209104704216955,17.181925290155707,0.0017937146813209808,0.003593097826971635
8476,MRPL54,-0.2770323007388844,4.4790209745241985,17.1804915802607,0.0017942251560894569,0.003593410650288166
4160,EFCAB7,-0.6283895212512473,0.39602322277570773,17.17825515115731,0.0017950217867075634,0.0035942963397409887
3304,CXCL2,0.6727077956685271,0.8547750780829212,17.163974874490883,0.0018001184834821563,0.00360379029993605
1414,AURKB,-1.9765248126245791,4.4796524717414234,17.142265424240705,0.0018078998268214268,0.003618654044527908
12597,SLC25A39,0.17156495695320517,7.3347436906109795,17.13512757518994,0.0018104670227594719,0.0036230774555695666
9370,NUDT9,-0.274685072857905,5.7285796487909035,17.131958843755537,0.0018116080822997227,0.0036246457231571883
7863,MAG,-0.6239655941595706,1.6398317922704806,17.128828638185404,0.0018127361118395276,0.0036261873069578874
