gene,genes,logFC,logCPM,F,PValue,FDR
5514,GM4841,10.862841578663838,4.801066013909517,11626.915788672743,7.453866602303121e-15,7.601453161028723e-11
12462,SLAMF8,7.715110089689494,6.936359054796256,8407.342382655848,3.032071968481641e-14,1.5460534967287888e-10
2843,CNN3,8.43233721046381,5.9594509024026125,6592.852079056828,8.680755079881446e-14,2.4407147069095627e-10
1505,BATF2,4.292117380119325,6.142042001474508,6445.36807499208,9.573307342261473e-14,2.4407147069095627e-10
5239,GBP11,10.962507915603053,6.040161022489136,5150.6338718897705,2.525107652823141e-13,4.048386932766707e-10
13650,TAPBPL,2.6606812733519845,6.519962151995091,5072.779934164794,2.697023361882513e-13,4.048386932766707e-10
4879,FGL2,5.123510271300735,9.892735569802054,5037.839890735206,2.778849630257594e-13,4.048386932766707e-10
12823,SLCO3A1,5.900793322434494,7.172214058550227,4521.710885775712,4.434449095347066e-13,5.652813984293672e-10
15036,UPP1,7.59617858365905,3.6597039768537294,4001.7759574215647,7.519364398491507e-13,7.835586516753913e-10
13792,TCF7L2,3.1608300115870525,4.897607272287526,3981.8404232706644,7.683454125077381e-13,7.835586516753913e-10
12128,SECTM1A,9.215893905428072,5.048167482590525,3706.946742535056,1.046739364707707e-12,9.704225492081088e-10
6569,IL12RB1,8.768599071815656,7.567410657133144,3041.585966050347,2.460827703428627e-12,1.9640412667893136e-9
6749,IRF1,3.93245686526471,9.163359720013167,2995.632491397029,2.62810239449665e-12,1.9640412667893136e-9
12194,SERPINA3F,11.174385341020713,7.574481721665973,2977.9266382862547,2.696271595906098e-12,1.9640412667893136e-9
9451,OCSTAMP,11.040020955855445,5.357747365769814,2838.461086527117,3.316973969621201e-12,2.2551000361464674e-9
14365,TNIK,7.426179470683143,4.658934707496003,2713.6218426437736,4.0281489021853786e-12,2.500054242177339e-9
1741,BST1,4.020120920977325,6.038247007270889,2688.4495327880923,4.1935766298997596e-12,2.500054242177339e-9
5455,GM12185,7.099695902552481,7.785323525869447,2656.9238013951954,4.412725667698775e-12,2.500054242177339e-9
12776,SLC6A19,8.269141058164864,2.221913733508814,2589.095587906692,4.93406022728623e-12,2.648291905150788e-9
14038,TLR12,9.109454492297369,3.7354935964183285,2360.491519283426,7.354087245453785e-12,3.749849086456885e-9
9575,OTUD1,2.883756260088347,5.700185345525819,2301.173055637342,8.208058981501446e-12,3.985989785397702e-9
13648,TAP2,2.154082784359851,7.861326313447249,2241.3545314320227,9.196278223737473e-12,4.262892969348852e-9
3886,DNASE1L3,8.398566196992222,5.932729648059129,2135.7328120464804,1.1326172236950772e-11,5.021926281409738e-9
2766,CLIC5,6.2448321565300136,6.804379775478631,1995.1151914002733,1.519522832886465e-11,6.456705770740071e-9
15933,ZFP281,1.9500934333462212,5.91894409171771,1883.0487498848502,1.949876338108408e-11,7.953935558411818e-9
11557,RNASE6,3.038128683668073,6.241473580317512,1755.2313823186116,2.640310514506031e-11,9.945818383626016e-9
3307,CXCL9,6.320848533703612,4.057684611607514,1748.2775268905657,2.6858918577931804e-11,9.945818383626016e-9
14637,TRPM2,2.4885526553416613,5.204152369488637,1733.1438678621435,2.7884850845022947e-11,9.945818383626016e-9
8877,NDRG1,-2.584259896060306,6.882952236175182,1717.0669886815347,2.9028095093097954e-11,9.945818383626016e-9
9317,NT5DC2,-2.1995059645305246,6.866095943404091,1713.926047676473,2.925814390162586e-11,9.945818383626016e-9
6928,KCNAB1,3.1605939250437394,3.0340350686780058,1651.8285218895578,3.430359028863824e-11,1.106243505129329e-8
7099,KIF3A,-3.1208309039611413,7.238732220808576,1647.2940438031333,3.4712484961893045e-11,1.106243505129329e-8
4,1110038F14RIK,2.080823554093453,5.341703408318649,1508.8004854250298,5.068185679827677e-11,1.566222956450989e-8
5240,GBP2,5.2421428055733275,10.032313407380666,1425.8294167667502,6.466607680879832e-11,1.9396019155768393e-8
11472,RHOH,2.430501075321355,4.647519841108682,1373.5617375542247,7.595084464636506e-11,2.157008528887151e-8
14037,TLR11,5.424367875769671,1.6887279283616914,1372.7491685885461,7.614464310643012e-11,2.157008528887151e-8
7106,KIF5C,2.090255957342187,5.691357463858834,1345.3924813960807,8.303961237407744e-11,2.2887512621374102e-8
5242,GBP4,8.78719259011675,9.208571848276506,1336.459693209352,8.545605882072003e-11,2.293370757509744e-8
10250,PLEKHG1,2.864529895893306,3.856559014283673,1324.81239336641,8.873826765231168e-11,2.32039193209814e-8
13728,TBC1D9,1.446516116719657,7.004559902846515,1285.6053751794288,1.0099033618274271e-10,2.5747486209790253e-8
10847,PSMB10,1.9314318768287628,7.45607135381551,1272.486956772272,1.0554906409516813e-10,2.578497570460353e-8
6413,HVCN1,-2.056098405776847,6.435063521555969,1270.6867313288035,1.0619425177420556e-10,2.578497570460353e-8
657,AIG1,2.9640914095624717,4.941403879688073,1227.7172537556332,1.231414551469531e-10,2.92045711532239e-8
6588,IL18BP,4.563330035055011,8.084848231498935,1217.7457221348118,1.2753991941066443e-10,2.9560274957953542e-8
1817,C4B,6.145410024574752,6.120501612438403,1196.2840893127702,1.3768166884502878e-10,3.104330242540951e-8
10856,PSMB9,1.8006024460610104,7.123394022899408,1191.5978784311367,1.400266632250282e-10,3.104330242540951e-8
7809,LYN,1.5718561074248203,8.764916428954272,1177.3396852101318,1.4747026678743871e-10,3.19979102276234e-8
7236,KLRK1,8.08099809299544,5.223969488302529,1166.6668743915968,1.533626837060682e-10,3.258318017571841e-8
2534,CFB,5.253187035195162,6.2725908348994395,1154.4452693584815,1.6047044428675533e-10,3.309256802591533e-8
5241,GBP3,3.7093240103211977,7.684258597738545,1151.4889440647878,1.6225028449654504e-10,3.309256802591533e-8
4939,FLT1,6.906972658790965,4.96849769572884,1140.754899786732,1.6892041551766827e-10,3.377745877351336e-8
6063,HCK,1.339497995138837,7.257985434884425,1125.3288486598228,1.7910815098073927e-10,3.512586391733806e-8
5244,GBP8,5.510026375568455,7.002550582396503,1109.8509052982695,1.9010104239222342e-10,3.59311579159593e-8
2761,CLEC9A,7.330104313956435,3.4924225198895615,1109.6337616512028,1.9026108329690157e-10,3.59311579159593e-8
9608,P2RY1,-4.005748051058087,3.7613800390244654,1094.3548691997587,2.019506573708628e-10,3.744532370669198e-8
13009,SOCS1,6.3291882631561265,5.702403579545523,1086.5479305926806,2.0826471876781806e-10,3.7926492892753724e-8
8190,MFGE8,-2.7325960879354843,5.194354016226977,1024.4291132406977,2.6824485893571803e-10,4.799229949870969e-8
7969,MAPK9,1.3790801301179343,6.695184906086416,1003.0033917250532,2.9375377510477546e-10,5.1394999508145714e-08
9664,PAM,-1.897239973020504,5.612290912843807,999.5910614934712,2.980875358189834e-10,5.1394999508145714e-08
9172,NOS2,9.059681040358624,2.7685825737082332,996.2687562548363,3.023828172669879e-10,5.1394999508145714e-08
5243,GBP7,3.0187677092403855,8.271269623546488,988.7421390661162,3.123989624909714e-10,5.2052056743358166e-8
2247,CD274,4.031230821194149,8.51378317640174,985.7768924252946,3.164569050880767e-10,5.2052056743358166e-8
2160,CCL8,5.666883735721043,3.896142856141608,950.00137861306,3.709271584567008e-10,6.00430978085942e-8
6608,IL21R,2.3291988302902107,6.150358616558364,945.647779124113,3.7831844526428606e-10,6.028267976258109e-8
4023,DUSP10,3.527685719150044,3.4713921419134683,935.6432208701497,3.9600254547026944e-10,6.212975321085859e-8
8315,MMP25,4.059733241091418,1.735732938422604,927.7638175973038,4.106507487549215e-10,6.34517626636771e-8
6181,HK2,2.3259843710140617,6.070003574387665,915.610835892134,4.345756480527688e-10,6.614630535585278e-8
2809,CMAH,-2.803680197362477,4.246388840337962,897.1967424091272,4.741893605310999e-10,7.111445733376702e-8
13014,SOCS6,-1.9386633828358713,6.811212674428239,891.8429774538689,4.865323618754946e-10,7.190807284646802e-8
