gene,Control,Control,Control,M2b,M2b,M2b
Xkr4,1,0,0,0,1,0
Rp1,0,3,0,0,5,0
Sox17,0,1,0,0,0,0
Mrpl15,63,45,93,66,97,99
Lypla1,119,72,88,98,178,169
Tcea1,570,356,383,418,553,392
Rgs20,0,0,0,0,0,0
Atp6v1h,945,1225,752,978,777,850
Oprk1,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0
Rb1cc1,407,250,375,414,648,504
Fam150a,0,0,0,0,0,0
St18,172,137,143,67,18,36
Pcmtd1,220,80,373,214,292,128
Sntg1,0,0,0,0,0,2
Rrs1,59,92,85,103,97,101
Adhfe1,0,0,10,0,7,1
2610203C22Rik,5,0,20,7,1,4
3110035E14Rik,2,12,0,0,5,0
Mybl1,28,2,2,9,8,19
Vcpip1,1078,653,868,843,1267,1104
1700034P13Rik,3,5,0,0,1,1
Sgk3,442,162,257,210,450,417
Mcmdc2,6,11,0,0,0,0
Snhg6,26,17,38,31,28,23
Snord87,15,24,90,77,33,32
Tcf24,0,0,2,0,0,0
Ppp1r42,0,0,0,0,0,0
Cops5,192,130,148,144,202,208
Cspp1,106,64,86,89,215,177
Arfgef1,743,658,668,636,1500,885
Cpa6,0,0,0,0,0,0
Mir467e,0,0,0,2,0,2
Prex2,0,13,8,1,6,17
A830018L16Rik,0,0,0,0,4,0
Mir6341,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0
Sulf1,8,6,0,20,41,12
Slco5a1,0,0,0,4,0,7
Prdm14,0,0,0,0,0,0
Ncoa2,342,257,411,275,608,548
Tram1,695,454,520,482,718,494
Lactb2,61,58,96,122,62,74
Xkr9,0,0,0,0,0,0
Gm5523,2,0,0,0,1,1
Eya1,1,18,12,31,3,14
Msc,0,0,0,5,0,0
Trpa1,0,0,0,0,0,0
Kcnb2,0,0,0,0,5,0
Terf1,72,53,102,36,154,63
Sbspon,0,0,0,0,0,0
4930444P10Rik,0,0,2,0,0,0
Rpl7,3302,3095,3362,3485,4258,3316
Rdh10,19,15,17,8,58,10
Stau2,25,12,16,24,50,6
Ube2w,78,85,60,56,102,165
Tceb1,108,101,84,127,194,204
D030040B21Rik,0,0,0,0,0,0
Tmem70,96,49,69,56,131,138
Ly96,26,38,67,103,71,112
Jph1,0,0,0,0,0,0
Gdap1,0,0,0,0,0,0
Pi15,2,0,0,0,0,18
Gm16070,0,0,0,0,0,0
Crispld1,8,0,0,0,20,6
Crisp4,0,0,0,0,0,1
Defb44-ps,0,0,0,0,0,0
Defb18,0,0,0,0,0,0
Defb41,0,0,0,0,0,0
Gm15386,0,0,0,0,0,0
Tfap2d,0,1,8,1,0,1
Tfap2b,0,0,0,0,0,0
Pkhd1,7,0,0,0,2,2
4930486I03Rik,0,0,3,0,0,0
Linc-md1,0,0,0,0,13,0
Mir206,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0
Il17a,3,0,0,0,0,11
Il17f,0,0,0,24,0,13
Mcm3,201,198,173,153,298,239
6720483E21Rik,0,0,1,0,0,0
Paqr8,49,6,0,8,15,7
Efhc1,0,0,0,0,7,0
Tram2,27,5,6,31,28,19
Tmem14a,0,0,0,0,0,0
Gsta3,7,0,1,0,12,1
Gm4956,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0
Kcnq5,10,6,46,27,1,8
Rims1,2,0,0,0,0,0
4933415F23Rik,0,0,0,0,0,0
Mir30a,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0
Ogfrl1,106,52,33,49,192,112
B3gat2,0,0,0,0,0,0
Smap1,345,371,232,284,554,516
Sdhaf4,3,4,31,6,1,29
Fam135a,24,32,17,6,31,22
Col9a1,0,4,0,0,0,0
Col19a1,7,0,0,3,0,1
Lmbrd1,507,507,501,573,625,482
Adgrb3,11,0,0,0,2,0
Gm20172,0,0,0,0,0,0
4931408C20Rik,0,0,0,0,0,0
Gm597,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0
Phf3,1166,839,950,928,1520,1227
Ptp4a1,701,990,888,1352,1176,711
Gm13363,671,968,862,1298,1112,668
4931428L18Rik,0,0,0,0,0,0
Lgsn,0,0,0,0,0,0
Pih1d3,0,0,0,0,0,0
Gm4850,0,0,0,0,0,0
Khdrbs2,0,0,0,0,0,0
Gm9839,0,0,0,0,0,0
Gm5415,0,0,0,0,0,0
Prim2,13,41,25,8,76,34
1700001G17Rik,0,0,0,0,0,1
Rab23,12,9,34,5,10,22
Bag2,10,2,10,0,1,3
Zfp451,348,388,541,548,471,385
Gm15455,1,4,1,2,3,0
Bend6,10,20,66,41,20,16
Dst,2783,3027,2888,2530,3876,3061
Mir6896,0,1,0,0,0,0
Mir5103,0,0,0,0,0,2
Ccdc115,92,93,63,98,107,96
Imp4,124,112,65,111,159,184
Ptpn18,43,16,111,121,77,60
Prss39,0,0,4,1,0,0
Cfc1,0,0,0,0,0,0
Prss40,0,0,0,0,0,0
Amer3,0,0,0,0,0,0
AA619741,0,0,0,0,0,0
Arhgef4,0,1,4,0,3,2
Fam168b,874,574,600,588,780,719
Plekhb2,551,359,406,438,480,559
Hs6st1,86,105,207,176,184,149
Uggt1,591,310,530,443,591,617
Mir6897,0,0,0,2,0,0
Neurl3,324,145,385,331,388,314
Arid5a,124,158,287,208,173,184
Kansl3,327,237,423,271,580,434
Mir6898,3,1,1,0,0,0
Fer1l5,3,3,1,0,5,0
Lman2l,29,9,32,21,23,22
