symbol,Control,Control,Control,M2b,M2b,M2b
Gm5524,2.329341900026784,2.7963035370180953,2.865574539003524,2.7964688013988175,2.4086699563381972,2.570430124669863
Lgsn,2.472795747877886,2.034048981274262,2.1907999511021026,2.3824919286225494,2.0163991952105524,2.0393692296286012
4930521A18Rik,1.4532891342293082,1.630635826100026,1.662049692075361,1.2098169988151675,2.7989155060809754,2.236130964558809
Gm4850,1.5143693433983985,1.5688878034245932,1.5802591949195135,1.3821788158757196,1.9854553668075035,2.101122420241495
Khdrbs2,2.3990037514621325,2.564881285213102,2.3759740930184288,2.575813526575686,2.867506799,2.546995445850124
1700001G17Rik,3.3865574484822742,3.1649916941590552,3.655042334659597,3.110865737027453,3.6936354252516153,3.457935101242648
Rab23,4.746108552987088,4.809402001346225,4.6815022305315335,4.280220783069631,4.439399609687401,4.629791989346971
Dst,6.153652321712557,5.953146268403341,5.435065720809672,6.143511870406329,6.042091342164996,5.839245420032949
Imp4,7.9214392609681354,8.03113482,8.032355139871115,7.644180594040263,7.658938785028131,7.807243270055642
Ptpn18,5.623844283725264,5.779483839794501,5.299563414450081,5.286931063558338,5.117175926058133,5.197041499653976
Prss39,2.2204152027186237,2.3884984327124856,2.615595692160519,2.309866263853616,2.5323335925971273,2.3961098939032044
Cfc1,2.687579803454175,2.4448028436088443,2.5190383679446513,2.128313612082919,2.530181262263704,2.2382787801750075
Fam123c,2.3703295397232873,2.5532238488848416,2.594214018,2.7049587453791233,2.745097910725991,2.3272212378977235
Arhgef4,4.233724989500888,3.9660848417272376,3.762331509017916,3.8251517759252773,3.7960080409198933,3.631087613206665
Plekhb2,9.745569234018756,9.691004734871031,9.723748824421497,9.674363311636451,9.549441420381262,9.583897165248633
Hs6st1,7.397899928397788,7.417902125320358,7.470304266,7.158273594356383,7.239188480006051,7.242949875484667
Arid5a,5.782815129478588,5.207372205849827,5.037132570885839,6.442166170710765,6.294273221255315,6.059839839703626
Cnnm4,6.5477778465115755,6.546028268643895,6.426385253315071,6.706512830800816,6.506260607197305,6.549992458813754
Cnnm3,6.047079967917822,5.728949078486831,5.840328297438484,5.468372552219845,4.903833335552327,5.3589160349338725
D430040D24Rik,2.5943280762161702,1.962278811082189,2.235774168,3.198649035429916,2.249412914537627,1.9526404515249196
Cox5b,3.6752779112563627,3.8135607856846647,3.346932675177335,4.2222404490560015,4.470872434866547,4.373975651700674
4933424G06Rik,3.361817678309937,2.9138234287326896,2.9570285007963113,2.815659343550953,3.2014360392413534,3.055681129245052
Zap70,3.009162029649858,2.746065967998735,2.4370374246881985,2.624519754556661,2.7065972729094785,2.6302203252555794
Vwa3b,3.2643162067916185,3.2820764466561467,3.052233421612164,3.273942530484769,3.5102610660241047,3.089123993
Cnga3,1.8140798282875734,2.182641920974097,1.8757293341416108,2.1966170841892936,1.8020573623568994,2.0132206075311294
Inpp4a,8.009285364,7.968967570831181,7.852165703453226,7.815806275712086,7.806119113137717,7.831888125759725
Unc50,7.755924634475397,7.480441432159005,7.508075611,7.6663443204726605,7.740148514623904,7.715933449424794
Lipt1,3.8426298237260674,3.5665174082033846,3.126440514036006,3.224911203,3.396719084398772,3.392280325240667
Mrpl30,5.687379545062988,5.252327137445178,5.160234177,5.866105138057482,5.814605030717222,5.285130312300328
Eif5b,9.167306913032043,9.224505521791743,9.173656808261075,9.317925878599441,9.162120485066385,9.314468163587826
Gm5099,3.6469690476471834,3.230265460263887,3.397903970808866,3.5300683829402937,3.3606963198718485,3.3723897180113607
Nms,2.9482148487857684,2.8180195253101816,2.648740123507303,3.137545532735148,2.644345828865159,2.970053978424792
Pdcl3,8.504992583087233,8.412125219297646,8.538916477105778,8.580507086204372,8.691234760282128,8.641809042790365
Npas2,5.033945448380472,4.418885489540831,4.616177078257016,4.552414362903927,4.382213803919026,4.5109031722866515
Rpl31,5.649452490590024,5.629886628375912,5.338725061,5.407079733113951,5.577168248,5.363210254775772
D1Bwg0212e,6.6456954770893955,6.721346050046086,6.873560770337705,6.8536679218470224,6.700931924,6.785642149928008
Map4k4,8.457345638,8.512472190881612,8.361664504739908,8.525034239389257,8.678871651,8.457386919065987
Il1r2,3.901280225,4.434733946964112,3.583527745134648,4.296416800479117,4.970220350531878,4.504346979
Il1r1,4.796388560264628,4.667956153398773,4.341350957772737,4.5871743808083725,4.392508818884666,4.770655064711969
Il1rl2,4.801185228,4.540217875984487,4.747934175219403,4.808699566347484,4.382708621261949,3.535070382517577
Il1rl1,2.829818161994412,2.9316415053671325,2.6576496317415215,1.7791237990769546,2.4476152437812675,2.192111692679414
Il18r1,3.0600671589360458,2.8450499890609633,2.5947754525006586,3.1218849543096128,3.1218957151337614,3.408394779531542
Il18rap,5.229619561141175,4.896076840812725,4.982428905260734,5.171567712096146,5.119423142112129,4.575480255783107
Slc9a4,2.408995915754965,2.310760383951442,2.653284519,2.063209645438394,2.6417436259659945,2.895625651274581
Slc9a2,3.0062067650861795,3.1804438480488972,2.5666008223296517,3.1136654995873454,2.908516161685521,2.6271373741870767
Tmem182,2.7691257554335436,3.172078595657033,2.7890867724285213,3.0657003783613854,3.0084963688088915,2.9503800384342322
Pou3f3,3.3925730989802534,2.5628612972483307,3.078807455987449,2.849204804436333,2.659313265185435,2.715776920223269
2900092D14Rik,2.28825806,2.1277949651772885,2.034420073622603,2.1496686446096906,2.0014653470358197,1.8594173852546665
Mrps9,6.9504764436315964,6.840637741992579,6.9289346717051155,6.987449601972013,6.951025067826729,7.064468122214557
Gpr45,1.7688041172396443,1.8061641567623028,2.159934707313761,1.686485136640113,1.754345278231972,1.8727623337422568
AI597479,6.099595419770778,6.408009249330793,6.359391465,6.531358709730989,5.9515454056765895,6.088006812267198
Rpl29,11.55985602,11.610701521906467,11.72155060610924,11.542100992381126,11.601496247376982,11.578807411421664
Nck2,5.512082730566145,5.283115421267102,5.338294773328352,5.800250184456909,5.887791371,5.835371930669021
1500015O10Rik,1.6617679865844606,2.093732842148083,2.369328891626358,1.693429621597717,1.6122822548312465,1.5902748404222433
Tpp2,8.843929584226315,8.935292781075626,8.969741290894111,8.763747590055392,8.788681397,8.793415802885688
Bivm,6.316386176048971,6.506687200621823,6.555284445536137,6.5081284310087995,6.41782834,6.218409578526202
Ercc5,6.632076958248747,6.487829769947571,6.356018479446209,6.476295127584836,6.7075954262489486,6.184176270267667
Gulp1,2.1984322921483472,2.374150300415441,2.5416910513022954,2.040259279297351,2.2461465803211396,2.375256071539379
Col3a1,4.441736510773352,4.505915548118414,4.072031419546426,4.0375631444034905,3.651327779695543,3.971154306202834
Wdr75,7.325569559425887,7.4437048817623435,7.302535003523667,6.4044993316390855,6.413719999700883,7.023913553001879
Dnahc7b,2.5264385922221475,2.286235003,2.5708927674386493,2.179059034320925,2.4242012232649457,2.004322730148086
Tmeff2,2.3123207591202677,2.1934579145682336,2.0189335714906345,2.464583180880716,2.0472064904064737,2.037733296984504
Sdpr,4.697894575,3.723388256376958,4.668969219568249,4.101964717613429,4.086922795667465,4.288851086782561
Stat4,6.705715609479972,6.769337647910461,6.819488014500285,7.350815365590769,7.443060248551726,7.327817208
Stat1,11.530169686885873,11.145394590207992,10.987882358055426,12.269255472797958,12.09503405903083,12.218416456643405
Tmem194b,4.834151424,4.8188860820746875,4.8855955519108285,4.720436101299036,4.8920080063435485,4.756381854943829
Hibch,5.527541046488049,5.7748692845413725,5.629481030664542,5.923667206388988,5.8024085453858545,5.239237096880384
Mstn,1.2651167635847238,1.1021551737965516,1.238283462932744,1.1708684502945599,1.4605484352527311,0.9653591512189321
Ormdl1,6.252982900457997,6.819567662998118,6.3994830852689395,6.295894038695502,6.381979407558758,6.298388616666929
Osgepl1,4.897381596188862,5.0228927315449114,5.145345961797705,4.695900493540427,4.563753523121389,4.618799820238497
Ccdc150,1.8548847566237245,1.722983845925067,1.6600079804326024,1.9736247651066663,2.2583265859628945,2.072394129707593
Coq10b,6.838174366804269,7.019075844439367,6.733335609,7.456322649866095,7.300798820900031,7.208757074
Hspe1,6.919640351525852,7.520643410427444,7.226919814863446,7.462878971422014,7.402616097541677,7.348975374642212
Mob4,7.988722331113326,7.959399077306932,7.981468144,7.8435994904021165,7.983391721027544,7.924203560519132
Rftn2,2.071855510289013,1.6875791850418251,1.8135670935713148,1.9527757632950067,1.6823810035973152,1.9064663854986001
Mars2,3.8687739445343174,4.528177756295053,3.7419738115660786,3.889046425856682,4.260825137009786,3.8548989617647513
Plcl1,2.618556067149315,2.0205611272544806,1.6969200136630822,1.6098049555290972,2.100481848334888,1.8077617439957232
9130227L01Rik,1.5039319011123544,1.4964773820196338,1.9955370136975112,1.5577850730156344,1.5654858016443782,1.8372764796929324
9130024F11Rik,2.6739165343784634,1.821191064935391,1.9644019422186574,2.0643331314090734,1.7347424094973198,1.864858220079492
1700066M21Rik,5.322811969352275,5.0140603753815824,5.007921322421998,4.860472760052667,5.1071459814532005,4.902166037776123
9430016H08Rik,6.272923233552385,6.5220575350876295,6.110517571738606,6.4710121146798985,6.4428622808169305,6.522503524784675
Spats2l,3.408236432427277,3.3757561069808273,3.4803495416667123,3.478189906295799,3.8592213412341323,3.408947438467945
Sgol2,3.9021514073792716,4.068931459421836,3.879877472630959,3.717851283057701,3.866655362192003,3.7591581192856314
Aox1,3.3035329145066163,3.188861718087997,3.711853413423476,3.6240572858754545,3.286732522187275,3.269623778844649
Aox3,3.1764149678493023,3.4552076541469345,3.299119081831984,2.7984746756054175,2.652997399,2.4235022117261495
Aox4,2.1493354794431143,2.087525682,1.9587366279837697,2.156311402566943,2.193783663609672,2.369160064903532
Aox3l1,2.8206721953067153,2.3702466448997965,2.3344391021771096,2.7207681688501224,2.6968118058829473,2.9817549525168734
Bzw1,10.051844163019242,10.080654348705574,10.098970422253554,9.700506582807138,9.804786863602393,9.629508401
Nif3l1,6.210001160123653,5.956567653441915,6.133374401145931,5.852644074215738,5.900934300639613,5.994359258962321
Gm15834,3.1624916521596274,3.634802457744519,3.7669759386154227,3.262731184165211,3.2529099373409327,3.2982329733448745
Ndufb3,5.618552045282421,5.626413175,5.580864129,5.673012082691917,5.571108515825975,6.311224057485171
Cbx3,8.050017069928574,8.151229993,8.094128979067197,7.827762072779951,7.9901212450569155,8.107739296691921
Gm20257,4.8000965012856085,5.378450063019662,5.816980883400823,4.677858408126081,5.812748537,5.615422859120295
Cflar,8.729202776158374,8.528219464126716,8.521512512029426,9.128739091,9.110344598,9.099213127031874
Casp8,10.249122280240499,10.327069782314954,10.416336699860063,10.802556499294006,10.660598665574344,10.894023072827656
Stradb,5.558254375177249,5.582339395492506,5.988617508804685,5.9260848073272125,5.4517355758973345,5.733105522138738
Cdk15,4.664793635265623,5.182633615425981,4.609235684984084,4.963573766030205,5.072593027394191,5.230586043211145
Fzd7,6.565668102347316,6.760830184811816,6.732854842535223,6.1687443214564555,6.411592808702107,6.516549127268669
Gm973,2.5147112048590348,2.739622801684281,3.016700623642615,2.6900513672585236,2.4604215077597393,2.9195030978814467
Nop58,8.089452350918219,8.168501811507376,8.038380118454848,7.174214194463961,7.358567372,7.1794217288633675
Snord70,7.324363194392241,7.6000606923994045,7.367768353775462,7.6796496029988806,7.153592292334645,7.769120745803083
Snord11,5.523696441809177,5.304953795344402,6.210862946,6.063932105604442,5.699018434025171,5.825846590310894
Bmpr2,9.880333978072818,9.906904450751586,9.808252745932956,9.680755305,9.764092433000174,10.087018717446586
Bmpr2,7.777100875895554,8.084811448823514,8.090779988534386,7.710480839246426,7.838354882289258,7.6405927787722385
Fam117b,8.560124381804595,8.692513868000322,8.654136104303022,8.564079993170441,8.470038611728517,8.610864697981205
Carf,4.846102020399003,4.8948173903084635,4.904126750289451,4.613245962557398,4.736819245765093,4.542245942349764
Nbeal1,6.624213100986905,7.022153180868811,6.707591746,6.880080267309238,6.882768263070968,6.544606150406802
Cyp20a1,7.875296449299737,7.830992727900686,7.864581967233482,7.562301067262037,7.593030389287993,7.292761773335752
Abi2,6.483372616323055,6.438358416667519,6.6721889205955325,6.236360731347768,6.454277850642185,5.803254536
Cd28,6.123899913239516,6.274113123388899,6.1700069146838565,5.233777566,5.157801726017341,4.940891681978054
Ctla4,1.780833949451187,1.8002890376833856,1.7952394652856005,1.730356611,1.791221627892945,1.7087381291789578
Icos,3.339709947039747,3.5144511983665763,3.491703090942644,3.500644609681021,3.752353156340252,3.390756303941139
9530026F06Rik,3.0665138584346607,3.257659923428791,3.2101023071417583,3.1010518961188662,3.009108307,2.758534993328872
Pard3b,4.708829620495081,3.8064475085738847,4.286098694760534,3.318582582211795,3.5555717368195623,3.7606913182877753
Nrp2,10.504172334980915,10.19094669,10.031027861200707,10.412007891896982,10.253503920051294,10.223790247223878
Ndufs1,4.281613443412132,4.697072234156307,4.470579492045387,4.343954563,4.7564243425767625,3.9794173097572054
Gm20342,4.597602536291397,5.0162099922672505,4.902262508,4.690732253927495,4.788036696507157,4.949499263934869
Eef1b2,10.638969068445622,10.823940284828554,10.695298436719844,10.626751457644687,10.62942504,10.291996383164518
Snora41,3.206226530838351,3.0256583343998553,3.2472635874039724,2.674736678734412,3.0606923486477084,2.9930223066568318
Zdbf2,1.8726738186795582,1.8498180865349299,1.8995838148412862,1.8636916014325924,1.6754661287456338,1.8416932853930412
Adam23,2.026692871,2.078954179139428,2.1342305694096204,2.158307835787424,2.435525367543078,2.0694701989189213
Fastkd2,5.661183557914049,5.787570008,5.539568499303976,5.596325040939361,5.346581235186906,5.358122128116212
Gm13749,2.4156890632463464,1.9977619742983603,1.9083132755806946,2.015622376498288,2.2887529338865904,2.9368998771690027
Klf7,3.1156614404609626,3.5638584868782455,3.3030864446046118,3.6721275808764804,3.7403098143903826,3.009413837845155
Creb1,8.211162047782276,8.36222663,8.401977247982128,8.016361702940767,7.981481272298241,8.043539554563079
Ccnyl1,6.7217204386411185,6.562284651482719,6.287893254837405,6.685964275153992,7.189287974978917,7.063544699
Pikfyve,7.988680499249154,8.002281393576201,7.858996130803508,8.123753846593917,8.079073264,8.064241616695488
Pth2r,2.1050931197304252,2.2470869024266595,2.0513851368890874,2.196050651193727,2.344640339645797,2.038514368906927
Crygf,0.8720652388285741,1.3234694274390568,1.0049069469249312,1.097785246400268,1.1163064879045885,0.7234363443630087
Mtap2,2.7008784818033438,3.3296364624636334,2.446845973492775,3.774918636962524,2.9502423241039883,3.461452105202762
Unc80,2.2443894440023477,2.2586091446775916,2.0983711317947513,2.245686068258345,2.0028162547469845,2.150497771
Rpe,7.538585756151687,7.644476357997078,7.404822983785608,8.005777604382448,7.85973436,7.6677539600621785
Cps1,2.5750334098200627,2.3142787251326333,2.638366348977358,2.418643721522823,2.340746853,2.495711365
Spag16,2.215717340807485,2.057393830883281,1.9969771047929075,2.0927843229622263,2.2553278045465475,1.702435567298248
Vwc2l,2.5653354474464103,1.7588915955611113,1.8420395368584324,2.194473525402387,1.9857253749029167,1.704424031892898
Atic,7.839256383031967,7.937358654594482,7.860168174,7.238088650440255,7.208717013898548,7.013809494227637
Apol7d,2.4948445397709893,2.452302713840873,2.4433934427346804,2.3219547080351663,2.3999862888596697,2.343078659678019
Gm8883,4.23891914,4.304916531664134,4.194679378061998,4.014808969701042,4.262397015491009,4.533641497402202
Gm5528,5.449521657156444,4.805498732323407,5.193120200754807,5.188802614,5.106618876548665,5.356379617660778
B930094L07Rik,3.033168675367775,3.0965382247907094,3.3172637711348245,3.5727470619844652,3.291845177019291,3.0251934081601637
Tmem169,1.888380922710292,2.0252829909399392,1.6485119151337528,1.7673891120011316,2.3067053761537992,1.9252066528190315
Xrcc5,3.1647714057358365,3.2325721781894066,3.629340920279365,3.275160647588705,2.7985423860843976,3.265050427
Smarcal1,7.406712193884603,7.335077338019116,7.350522390864326,7.282382075075555,7.489843998252167,7.472916847779837
Rpl37a,4.106070788122344,3.9569179655977105,3.6848496761720364,3.610984273,4.149163822004693,3.6574853032379893
Igfbp2,3.391510460254638,2.8337735184384005,3.069075327619726,3.447554562216208,3.084636994114248,2.7191956234473746
1700027A15Rik,2.377804303554575,3.1340211245487235,2.475617817687012,2.4972157869030656,2.6875844835710376,2.395149315492068
D530049I02Rik,3.4699347568494194,3.505891487278376,3.7699947115149666,3.3110168121415873,3.260562517312132,3.7965402968285713
Rufy4,3.3320051683103586,3.0542970291457334,3.0319829471368935,2.8499126863958586,2.691846388245133,3.435773943852029
Cxcr2,5.916413715308018,6.542134127029131,6.434905265071663,5.488392667842493,5.830168282429479,5.931343674643288
Arpc2,11.927211723027192,11.98281781034356,11.965838192158307,11.997549001200923,11.946100152228585,11.93678244070975
Gpbar1,3.0458275298570943,2.99881421,2.3486226997109076,2.669759013130728,3.145317052056721,2.579862702483809
Pnkd,5.669413318062259,6.085943483016045,5.684983856462226,6.083528032825309,6.013760891922033,5.733119828445099
Gm216,2.6642827799575577,2.682290950561773,2.566760040789433,2.4774881016673564,2.594594294047722,2.4965495759916783
Slc11a1,11.629932716458994,11.600227580484045,11.795804871433258,12.000850790335917,11.93160233085586,12.009629469235312
Ctdsp1,6.455247514257786,6.765282341196751,6.5416936336830025,6.331149393333205,6.318743109779816,6.428962247403014
Mir26b,3.1239943245543396,3.4947026384211215,3.055533221,3.750308495941298,3.4533605627909005,3.686603318259043
Vil1,2.597182514428769,2.4934922782391418,2.5638972751461777,2.5879887454487833,3.1579685024702107,2.5163285645816207
Rqcd1,8.987868624222488,8.727668356260128,8.827444746207536,8.94239817,8.811125536,8.778870726
Plcd4,2.3003477488936825,2.367997992404423,2.170113792753625,2.1873132268933837,2.2408637111977887,2.0183931725373787
Bcs1l,6.384894588359536,6.4659871044012736,6.575345194253998,6.525604418829489,6.754550980486243,6.400004966
Stk36,4.009426995612676,3.9965283997242316,3.703241119924458,4.307000440647656,4.057098240312526,4.065822052797648
Ttll4,5.838163138144432,5.8294507133904006,5.603522539229443,5.736655677942985,5.746387352910648,5.971931023864389
Cyp27a1,7.997520203229417,8.146425169445628,7.855007909129519,6.879597643612012,6.726797348266928,6.663670419876384
Wnt6,3.2797245658824234,3.2918072056864376,2.497123390125157,4.556117838,3.522747444183508,4.279430812257792
Wnt10a,3.836371361667265,3.1359254885995638,3.151359952,4.051418013479437,3.3573090530270306,3.6093338724131305
Cdk5r2,2.9172112634382215,3.047680634720061,2.5072940292356867,2.3934434240573723,2.5434163910042438,3.489285303274176
Fam134a,8.170791921458143,8.153192389622252,8.364568522899404,8.006459394008285,7.969602960002987,7.880033834146179
Zfand2b,6.384280060902411,6.598224845399605,6.520423299,6.889175199203714,6.741397037216936,6.6474799936123805
Ankzf1,6.3337679292310805,6.107419513924144,6.302026587831319,5.865753386249256,6.179521676,5.8050187887878995
Stk16,6.861247302080807,7.1555617,6.940312186928093,7.027246655547573,6.991058858678134,7.0613623464267725
Dnajb2,3.767709156273205,3.759049328438796,3.983337480391753,5.064495516045038,4.206898662999588,4.515678358964319
Des,3.223281916558651,2.659595573872293,2.5492530910745352,3.0247455766434372,2.6838643090905587,2.5619461471274025
Speg,4.819740367907098,4.889858885724413,4.881303267916072,4.995218235493604,4.984744736496356,4.854696015562583
Gmppa,8.764450554944046,8.548763273594487,8.677630813692634,8.977944537686687,8.841941759942953,8.784428573056074
Accn4,3.2582147085502973,2.4700958012365115,2.920899081,2.5424518270372514,2.742124417571813,2.602734395399046
Tmem198,2.007851212691945,2.1232468234953474,1.9111476160809662,1.6471272317206302,1.9821127162871524,1.9977348889319697
Inha,2.8203369741222795,2.7848476694745887,2.3259011379281844,2.7838580149940837,2.799211182477067,2.6591951813447503
Stk11ip,6.505474702452237,6.715365300693289,6.373972037418465,6.265719512288919,6.186738204110348,6.329716450149574
Slc4a3,3.5908689401658607,3.4715538725789776,3.2502038169841407,3.884879358717763,3.6220603767762416,2.9049867658314734
LOC100862333,1.4896800158652588,1.1372241858191259,1.0622403306772665,1.7239233411893071,1.2809407929263577,1.236976634850105
Gm17751,1.5468197411173572,1.9910001999129243,2.0749130390664625,1.699856581083229,1.9483950470958264,1.7480078209602214
Sgpp2,3.143092067003667,2.7042513178302983,2.574354575666978,2.5618306501648647,2.8997331723421915,2.6765173396085973
Mogat1,2.1073164054536737,2.0889178858776436,2.160757556010807,2.3537574381532385,2.199449952840685,2.2625264696550644
Acsl3,5.8210248358600145,5.789808838322593,5.434548545916969,5.343265797006745,5.240935196828296,5.210306897974323
Kcne4,2.377523485597807,2.2856815047750754,2.295879872286569,1.8042384005863386,2.3016218094661673,2.2856815047750754
LOC100862182,1.9406339720557204,1.9115630274983666,2.3033598529580335,1.905434751702059,1.8781927743643183,1.828812758521363
Mrpl44,5.596731962826492,5.605658472802652,5.4620513229629095,5.947046742706943,5.731513274497502,5.621847343134963
LOC100862198,4.207469118906092,3.8492659047387456,4.402649083,3.8058044556939317,3.8582560416850953,3.8774735789995316
1700016L21Rik,2.2580190319809237,2.966883910187362,2.613944541116682,3.110045238952285,2.8555691825763163,2.999764203821404
9430031J16Rik,2.0565788239423535,1.7962034241624238,1.8650344005789101,2.031986131431524,2.088495291272371,2.1042831108463633
Irs1,2.037738035725188,2.159734797657038,2.3299230184402724,1.6962505868522917,2.3655121259527165,1.918462373417095
Gm19537,2.289384055130677,2.650496379880283,2.1424911939806126,2.932105648766066,2.775678273859862,2.7606733916708843
Rhbdd1,7.605023462190333,7.676409987908128,7.5950575654984025,7.530332794781866,7.580535846225745,7.641975203381006
Col4a3,2.5792891067926975,3.183395368901488,2.731611515191976,2.890940040356161,2.964017771367507,2.790343236475127
Mff,8.376255607735782,8.592792219359188,8.292205129121013,8.497188636943887,8.669463907120212,8.522490887681752
Agfg1,9.065656286081726,8.901813399207368,9.033012562518344,9.211324061480576,9.244893213874679,9.274401652
Ccl20,3.154701944685092,3.014128023771303,2.6794831015652254,2.911559493086761,3.2808752183662153,2.7701594102522016
Wdr69,1.665317393364993,1.620249508302342,1.4192423419986926,1.6974947754011194,1.5168811904964632,1.4998849868773276
Fbxo36,4.503006344141502,4.463335459661376,4.634944902266813,5.392366653240805,5.314858640785535,5.138428065510213
Gm7609,5.092680243,5.464665204532123,5.051473650613383,5.120207004851055,5.504353524148428,5.873616318055489
